,Job Title,Salary Estimate,Rating,Company Name,Location,State,Headquarters,Size,Founded,Industry,Sector,Revenue
0,"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),3.2,"Vera Institute of Justice
3.2","New York, NY",NY,"New York, NY",201 to 500 employees,1961,Social Assistance,Non-Profit,$100 to $500 million (USD)
1,Quality Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Visiting Nurse Service of New York
3.8","New York, NY",NY,"New York, NY",10000+ employees,1893,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
2,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",NY,"New York, NY",1001 to 5000 employees,2003,Internet,Information Technology,Unknown / Non-Applicable
3,Data Analyst,$37K-$66K (Glassdoor est.),4.1,"Celerity
4.1","New York, NY",NY,"McLean, VA",201 to 500 employees,2002,IT Services,Information Technology,$50 to $100 million (USD)
4,Reporting Data Analyst,$37K-$66K (Glassdoor est.),3.9,"FanDuel
3.9","New York, NY",NY,"New York, NY",501 to 1000 employees,2009,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
5,Data Analyst,$37K-$66K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",NY,"Stamford, CT",1001 to 5000 employees,2014,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
6,Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",NY,"New York, NY",1001 to 5000 employees,2001,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
7,Data Science Analyst,$37K-$66K (Glassdoor est.),3.7,"GNY Insurance Companies
3.7","New York, NY",NY,"New York, NY",201 to 500 employees,1914,Insurance Carriers,Insurance,$100 to $500 million (USD)
8,Data Analyst,$37K-$66K (Glassdoor est.),4,"DMGT
4.0","New York, NY",NY,"London, United Kingdom",5001 to 10000 employees,1896,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
9,"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),4.4,"Riskified
4.4","New York, NY",NY,"New York, NY",501 to 1000 employees,2013,Research & Development,Business Services,Unknown / Non-Applicable
10,Data Analyst,$37K-$66K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY",NY,"New York, NY",10000+ employees,1841,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
11,Data Analyst,$37K-$66K (Glassdoor est.),-1,BulbHead,"Fairfield, NJ",NJ,-1,1 to 50 employees,-1,-1,-1,Unknown / Non-Applicable
12,DATA ANALYST,$37K-$66K (Glassdoor est.),3.7,"Montefiore Medical
3.7","New York, NY",NY,"Bronx, NY",10000+ employees,1884,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
13,Senior Data Analyst,$37K-$66K (Glassdoor est.),3,"Known
3.0","New York, NY",NY,"New York, NY",201 to 500 employees,2004,Advertising & Marketing,Business Services,$100 to $500 million (USD)
14,Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),3.4,"Advisor Group
3.4","Jersey City, NJ",NJ,"Phoenix, AZ",1001 to 5000 employees,2016,Brokerage Services,Finance,$1 to $5 million (USD)
15,Sustainability Data Analyst,$37K-$66K (Glassdoor est.),3.6,"CodeGreen Solutions
3.6","New York, NY",NY,"New York, NY",1 to 50 employees,-1,Building & Personnel Services,Business Services,Unknown / Non-Applicable
16,Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Undertone
3.8","New York, NY",NY,"New York, NY",201 to 500 employees,2001,Advertising & Marketing,Business Services,Unknown / Non-Applicable
17,Clinical Data Analyst,$37K-$66K (Glassdoor est.),3.8,"NYSTEC
3.8","New York, NY",NY,"Rome, NY",51 to 200 employees,1996,Consulting,Business Services,$25 to $50 million (USD)
18,DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),3.9,"Education Development Center, Inc.
3.9","New York, NY",NY,"Waltham, MA",501 to 1000 employees,1958,Research & Development,Business Services,$100 to $500 million (USD)
19,Data Analyst,$37K-$66K (Glassdoor est.),4.9,"Teachers Pay Teachers
4.9","New York, NY",NY,"New York, NY",51 to 200 employees,2006,Internet,Information Technology,Unknown / Non-Applicable
20,"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),4.4,"Google
4.4","New York, NY",NY,"Mountain View, CA",10000+ employees,1998,Internet,Information Technology,$10+ billion (USD)
21,Data Science Analyst,$37K-$66K (Glassdoor est.),-1,MUSIC & Entertainment,"New York, NY",NY,"Marina del Rey, CA",Unknown,-1,-1,-1,Unknown / Non-Applicable
22,Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),3.3,"Macquarie Group
3.3","New York, NY",NY,"Sydney, Australia",10000+ employees,1969,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
23,Data Analyst,$37K-$66K (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",NY,"Warren, MI",201 to 500 employees,-1,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD)
24,Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Dash Technologies Inc
3.8","New York, NY",NY,"Columbus, OH",1 to 50 employees,-1,-1,-1,Unknown / Non-Applicable
25,Data Analyst,$37K-$66K (Glassdoor est.),4,"Hearst Communications
4.0","New York, NY",NY,"San Francisco, CA",1 to 50 employees,-1,Advertising & Marketing,Business Services,Less than $1 million (USD)
26,Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),5,"Duolingo
5.0","New York, NY",NY,"Pittsburgh, PA",201 to 500 employees,2011,Internet,Information Technology,$10 to $25 million (USD)
27,"Data Analyst, Product",$37K-$66K (Glassdoor est.),4.8,"Ro
4.8","New York, NY",NY,"New York, NY",51 to 200 employees,2017,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
28,Data Analyst Entry Level,$37K-$66K (Glassdoor est.),3.7,"Endai
3.7","New York, NY",NY,"New York, NY",1 to 50 employees,-1,Advertising & Marketing,Business Services,$1 to $5 million (USD)
29,Data Analyst,$37K-$66K (Glassdoor est.),4.7,"BlueLabs
4.7","New York, NY",NY,"Washington, DC",1 to 50 employees,-1,Research & Development,Business Services,Unknown / Non-Applicable
30,Data Analyst,$46K-$87K (Glassdoor est.),3.6,"Revel
3.6","Brooklyn, NY",NY,"Seattle, WA",51 to 200 employees,2005,Consulting,Business Services,$25 to $50 million (USD)
31,Data Analyst,$46K-$87K (Glassdoor est.),3.6,"NALLAS CORPORATION
3.6","Jersey City, NJ",NJ,"Newtown, PA",1 to 50 employees,-1,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
32,Data Analyst,$46K-$87K (Glassdoor est.),3.5,"Pozent
3.5","New York, NY",NY,"Piscataway, NJ",1 to 50 employees,-1,-1,-1,Less than $1 million (USD)
33,"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),3.2,"SoFi
3.2","New York, NY",NY,"San Francisco, CA",1001 to 5000 employees,2011,Lending,Finance,Unknown / Non-Applicable
34,Data Analyst (Games),$46K-$87K (Glassdoor est.),-1,Carry1st,"New York, NY",NY,-1,-1,-1,-1,-1,-1
35,Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),3.7,"Bank of America
3.7","New York, NY",NY,"Charlotte, NC",10000+ employees,1904,Banks & Credit Unions,Finance,$10+ billion (USD)
36,Data Business Analyst,$46K-$87K (Glassdoor est.),-1,Clear Street,"New York, NY",NY,"New York, NY",51 to 200 employees,2018,-1,-1,$1 to $5 million (USD)
37,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),3.6,"Nutech Information Systems
3.6","New York, NY",NY,"Westmont, IL",1 to 50 employees,-1,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
38,Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY",NY,"New York, NY",10000+ employees,1841,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
39,Data Analyst,$46K-$87K (Glassdoor est.),4.6,"The Trevor Project
4.6","New York, NY",NY,"West Hollywood, CA",51 to 200 employees,-1,Social Assistance,Non-Profit,$10 to $25 million (USD)
40,"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),-1,Pinto,"New York, NY",NY,"New York, NY",1 to 50 employees,-1,-1,-1,Unknown / Non-Applicable
41,Behavioral Data Analyst,$46K-$87K (Glassdoor est.),-1,AB InBev,"New York, NY",NY,"Kyiv, Ukraine",1001 to 5000 employees,-1,-1,-1,Unknown / Non-Applicable
42,Data Analyst,$46K-$87K (Glassdoor est.),5,"Whip Media Group
5.0","New York, NY",NY,"Santa Monica, CA",51 to 200 employees,2016,-1,-1,Unknown / Non-Applicable
43,Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),4,"Two95 International Inc.
4.0","New York, NY",NY,"Cherry Hill, NJ",1 to 50 employees,-1,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
44,Data Analyst,$46K-$87K (Glassdoor est.),3,"Vettery
3.0","New York, NY",NY,"New York, NY",201 to 500 employees,2013,Internet,Information Technology,Unknown / Non-Applicable
45,Data Analyst,$46K-$87K (Glassdoor est.),2.9,"Nesco Resource, LLC
2.9","New York, NY",NY,"Cleveland, OH",1001 to 5000 employees,1956,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD)
46,Advertising Data Analyst,$46K-$87K (Glassdoor est.),4,"Hearst Communications
4.0","New York, NY",NY,"San Francisco, CA",1 to 50 employees,-1,Advertising & Marketing,Business Services,Less than $1 million (USD)
47,Data Analyst,$46K-$87K (Glassdoor est.),3.6,"MediaMath
3.6","New York, NY",NY,"New York, NY",501 to 1000 employees,2007,Advertising & Marketing,Business Services,$100 to $500 million (USD)
48,Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),4.9,"Jordan & Jordan
4.9","New York, NY",NY,"New York, NY",1 to 50 employees,1990,Brokerage Services,Finance,Unknown / Non-Applicable
49,"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),3.9,"Roku
3.9","New York, NY",NY,"San Jose, CA",1001 to 5000 employees,2002,IT Services,Information Technology,$500 million to $1 billion (USD)
50,"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),4,"Walt Disney Co.
4.0","New York, NY",NY,"Burbank, CA",10000+ employees,1923,Motion Picture Production & Distribution,Media,$10+ billion (USD)
51,"Office of the CAO | Reference Data, Project Manager/Business Analyst",$46K-$87K (Glassdoor est.),3.8,"Citadel
3.8","New York, NY",NY,"Chicago, IL",1001 to 5000 employees,1990,-1,-1,$50 to $100 million (USD)
52,Business Data Analyst,$46K-$87K (Glassdoor est.),3.7,"Xoriant Corporation
3.7","Jersey City, NJ",NJ,"Sunnyvale, CA",1001 to 5000 employees,1990,IT Services,Information Technology,$100 to $500 million (USD)
53,Senior Data Analyst,$46K-$87K (Glassdoor est.),3.6,"Gemini
3.6","New York, NY",NY,"New York, NY",51 to 200 employees,2015,Brokerage Services,Finance,Unknown / Non-Applicable
54,Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),3.6,"TSR, Inc.
3.6","Weehawken, NJ",NJ,"Hauppauge, NY",201 to 500 employees,1969,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
55,Data Reporting Analyst,$46K-$87K (Glassdoor est.),-1,NADAP NYS INC.,"New York, NY",NY,-1,-1,-1,-1,-1,-1
56,"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),4,"Walt Disney Co.
4.0","New York, NY",NY,"Burbank, CA",10000+ employees,1923,Motion Picture Production & Distribution,Media,$10+ billion (USD)
57,Data Analyst II,$46K-$87K (Glassdoor est.),3.2,"Fragomen Worldwide
3.2","New York, NY",NY,"New York, NY",1001 to 5000 employees,1951,Legal,Accounting & Legal,$500 million to $1 billion (USD)
58,"Data Analyst - Environmental, Social, and Governance",$46K-$87K (Glassdoor est.),3.8,"Bloomberg
3.8","New York, NY",NY,"New York, NY",10000+ employees,1981,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
59,Data Analyst,$46K-$87K (Glassdoor est.),3.9,"Real Capital Analytics
3.9","New York, NY",NY,"New York, NY",51 to 200 employees,2000,Real Estate,Real Estate,$25 to $50 million (USD)
60,"Data Analyst, Revenue Analytics",$51K-$88K (Glassdoor est.),4.8,"Ro
4.8","New York, NY",NY,"New York, NY",51 to 200 employees,2017,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
61,Data Analyst - Data Acquisition / Data Lineage,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY",NY,"Saint Louis, MO",1001 to 5000 employees,1998,IT Services,Information Technology,$500 million to $1 billion (USD)
62,Data Analyst - Data Scanning utilizing Rochade,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY",NY,"Saint Louis, MO",1001 to 5000 employees,1998,IT Services,Information Technology,$500 million to $1 billion (USD)
63,Data Analyst - Stitching,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY",NY,"Saint Louis, MO",1001 to 5000 employees,1998,IT Services,Information Technology,$500 million to $1 billion (USD)
64,Junior Data Analyst,$51K-$88K (Glassdoor est.),4.1,"Kforce
4.1","New York, NY",NY,"Tampa, FL",10000+ employees,1966,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
65,"Data Analyst, Retail Media",$51K-$88K (Glassdoor est.),3.9,"Criteo
3.9","New York, NY",NY,"Paris, France",1001 to 5000 employees,2005,Internet,Information Technology,$2 to $5 billion (USD)
66,Data Analyst,$51K-$88K (Glassdoor est.),3,"Royal Communications
3.0","New York, NY",NY,"New York, NY",1 to 50 employees,-1,IT Services,Information Technology,$1 to $5 million (USD)
67,Portfolio Data Analyst,$51K-$88K (Glassdoor est.),3.7,"Neuberger Berman
3.7","New York, NY",NY,"New York, NY",1001 to 5000 employees,1939,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD)
68,Data Science Analyst,$51K-$88K (Glassdoor est.),-1,Greater New York Mutual Insurance Companies (GNY),"New York, NY",NY,-1,-1,-1,-1,-1,-1
69,Data/Reporting Analyst,$51K-$88K (Glassdoor est.),3.9,"Diverse Lynx
3.9","New York, NY",NY,"Princeton, NJ",501 to 1000 employees,2002,IT Services,Information Technology,$100 to $500 million (USD)
70,Data Analyst 2,$51K-$88K (Glassdoor est.),3.7,"eTeam Inc.
3.7","New York, NY",NY,"South Plainfield, NJ",51 to 200 employees,1999,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
71,Entry Level Data Analyst,$51K-$88K (Glassdoor est.),-1,impakt Advisors,"New York, NY",NY,"New York, NY",1 to 50 employees,-1,Consulting,Business Services,Unknown / Non-Applicable
72,Marketing Data Analyst,$51K-$88K (Glassdoor est.),3.6,"Current
3.6","New York, NY",NY,"Colorado Springs, CO",201 to 500 employees,-1,-1,-1,Unknown / Non-Applicable
73,Data/Information Mgt Analyst,$51K-$88K (Glassdoor est.),3.7,"Citi
3.7","New York, NY",NY,"New York, NY",10000+ employees,1812,Investment Banking & Asset Management,Finance,$10+ billion (USD)
74,Business Data Analyst,$51K-$88K (Glassdoor est.),3.6,"Axelon Services Corporation
3.6","New York, NY",NY,"New York, NY",501 to 1000 employees,-1,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
75,Information Systems Officer (Data Analyst),$51K-$88K (Glassdoor est.),4.1,"United Nations
4.1","New York, NY",NY,"New York, NY",10000+ employees,1945,Federal Agencies,Government,Unknown / Non-Applicable
76,Media Science Big Data Analyst,$51K-$88K (Glassdoor est.),3.5,"Discovery Communications, Inc.
3.5","New York, NY",NY,"New York, NY",10000+ employees,1985,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD)
77,Data Analyst,$51K-$88K (Glassdoor est.),3.7,"Randstad
3.7","Jersey City, NJ",NJ,"Atlanta, GA",1001 to 5000 employees,-1,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
78,Data Analyst,$51K-$88K (Glassdoor est.),5,"Mulberry Technology
5.0","New York, NY",NY,"New York, NY (US), NY",1 to 50 employees,-1,-1,-1,Unknown / Non-Applicable
79,Data analyst with Python,$51K-$88K (Glassdoor est.),4,"Two95 International Inc.
4.0","New York, NY",NY,"Cherry Hill, NJ",1 to 50 employees,-1,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
80,Data Analyst,$51K-$88K (Glassdoor est.),4.8,"SoftStandard Solutions
4.8","New York, NY",NY,"Fremont, CA",51 to 200 employees,-1,-1,-1,Unknown / Non-Applicable
81,Data Analyst,$51K-$88K (Glassdoor est.),5,"EDO, Inc.
5.0","New York, NY",NY,"Los Angeles, CA",1 to 50 employees,-1,Internet,Information Technology,Unknown / Non-Applicable
82,"Healthcare Data Analyst, Qsight",$51K-$88K (Glassdoor est.),3.3,"Guidepoint
3.3","New York, NY",NY,"New York, NY",501 to 1000 employees,2003,Research & Development,Business Services,Unknown / Non-Applicable
83,BA/Data Analyst,$51K-$88K (Glassdoor est.),4.1,"Mitchell Martin
4.1","New York, NY",NY,"New York, NY",501 to 1000 employees,1984,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
84,Data Analyst Python,$51K-$88K (Glassdoor est.),4,"Lorven Technologies Inc
4.0","New York, NY",NY,"Plainsboro, NJ",1 to 50 employees,-1,Accounting,Accounting & Legal,Less than $1 million (USD)
85,"Data Analyst, Bitcoin Trading Firm",$51K-$88K (Glassdoor est.),-1,Fintech Recruiters,"New York, NY",NY,"Dublin, Ireland",Unknown,-1,-1,-1,Unknown / Non-Applicable
86,Data Analyst-BA,$51K-$88K (Glassdoor est.),1,"Sphinix Network Solutions Inc.
1.0","New York, NY",NY,"New York, NY",1 to 50 employees,-1,IT Services,Information Technology,Less than $1 million (USD)
87,Data Analytics Solutions Analyst,$51K-$88K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY",NY,"Alexandria, VA",51 to 200 employees,2011,Consulting,Business Services,$10 to $25 million (USD)
88,Quantitative Data Analyst,$51K-$88K (Glassdoor est.),4.5,"Global Atlantic Financial Group
4.5","New York, NY",NY,"New York, NY",1001 to 5000 employees,2004,Insurance Carriers,Insurance,Unknown / Non-Applicable
89,Data Analyst,$51K-$88K (Glassdoor est.),3.4,"FINRA
3.4","New York, NY",NY,"Washington, DC",1001 to 5000 employees,2007,Brokerage Services,Finance,$500 million to $1 billion (USD)
90,Data Analyst,$51K-$87K (Glassdoor est.),-1,NYU Langone Medical Center,"New York, NY",NY,-1,-1,-1,-1,-1,-1
91,"Descriptive Analytics Data Analyst, IB",$51K-$87K (Glassdoor est.),3.6,"Jefferies
3.6","New York, NY",NY,"New York, NY",1001 to 5000 employees,1962,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
92,Data Analyst,$51K-$87K (Glassdoor est.),4.1,"RGP
4.1","New York, NY",NY,"Irvine, CA",1001 to 5000 employees,1996,Consulting,Business Services,$500 million to $1 billion (USD)
93,Data Analyst,$51K-$87K (Glassdoor est.),4.4,"Tachyon Technologies
4.4","New York, NY",NY,"Irving, TX",201 to 500 employees,2011,IT Services,Information Technology,$10 to $25 million (USD)
94,Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Apex Systems
3.8","Jersey City, NJ",NJ,"Glen Allen, VA",1001 to 5000 employees,1995,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
95,Data Analyst,$51K-$87K (Glassdoor est.),3.2,"Hagerty Consulting
3.2","New York, NY",NY,"Evanston, IL",1 to 50 employees,-1,Consulting,Business Services,$1 to $5 million (USD)
96,Data Analyst,$51K-$87K (Glassdoor est.),-1,Gainful Health,"New York, NY",NY,"San Mateo, CA",1 to 50 employees,-1,Food & Beverage Stores,Retail,Unknown / Non-Applicable
97,Business Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Cortex consultants LLC
3.8","New York, NY",NY,"North Brunswick, NJ",501 to 1000 employees,-1,Consulting,Business Services,Unknown / Non-Applicable
98,Data Analyst,$51K-$87K (Glassdoor est.),4.7,"Medly Pharmacy
4.7","Brooklyn, NY",NY,"Brooklyn, NY",201 to 500 employees,2017,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
99,Healthcare Data Analyst,$51K-$87K (Glassdoor est.),2.3,"Fair Health
2.3","New York, NY",NY,"New York, NY",1 to 50 employees,-1,-1,-1,$10 to $25 million (USD)
100,Supply Chain Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Peloton Interactive
3.8","New York, NY",NY,"New York, NY",1001 to 5000 employees,2012,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
101,Data Analyst - IBM Tool Set,$51K-$87K (Glassdoor est.),4.6,"ektello
4.6","New York, NY",NY,"Troy, MI",201 to 500 employees,2011,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
102,Analyst-Data Integrity,$51K-$87K (Glassdoor est.),3,"Premier, Inc.
3.0","New York, NY",NY,"Charlotte, NC",1001 to 5000 employees,1967,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
103,"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),3.9,"JPMorgan Chase
3.9","New York, NY",NY,"New York, NY",10000+ employees,1799,Investment Banking & Asset Management,Finance,$10+ billion (USD)
104,Data Analyst,$51K-$87K (Glassdoor est.),3,"Fund for Public Health
3.0","Long Island City, NY",NY,"New York, NY",201 to 500 employees,-1,Social Assistance,Non-Profit,$25 to $50 million (USD)
105,Data & Service Health Analyst,$51K-$87K (Glassdoor est.),4.2,"BlueVoyant
4.2","New York, NY",NY,"New York, NY",51 to 200 employees,-1,-1,-1,Unknown / Non-Applicable
106,Data/Systems Analyst,$51K-$87K (Glassdoor est.),5,"Crossfire Consulting Corporation
5.0","New York, NY",NY,"Yorktown Heights, NY",51 to 200 employees,-1,Consulting,Business Services,$5 to $10 million (USD)
107,Data Analyst,$51K-$87K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY",NY,"Northville, MI",501 to 1000 employees,2004,IT Services,Information Technology,$50 to $100 million (USD)
108,Data Analyst,$51K-$87K (Glassdoor est.),-1,Hyde Leadership Brooklyn,"Brooklyn, NY",NY,"Brooklyn, NY",51 to 200 employees,-1,-1,-1,Unknown / Non-Applicable
109,Data Analyst,$51K-$87K (Glassdoor est.),-1,Vertex Intel Systems,"Jersey City, NJ",NJ,-1,-1,-1,-1,-1,-1
110,Data Analyst Intern,$51K-$87K (Glassdoor est.),3.6,"My Job Tank
3.6","Jersey City, NJ",NJ,"New York, NY",51 to 200 employees,-1,IT Services,Information Technology,Unknown / Non-Applicable
111,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$51K-$87K (Glassdoor est.),3.7,"Cowen
3.7","New York, NY",NY,"New York, NY",501 to 1000 employees,1918,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
112,Data Reporting Analyst,$51K-$87K (Glassdoor est.),3.5,"Robert Half
3.5","New York, NY",NY,"Menlo Park, CA",10000+ employees,1948,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
113,Data Analyst,$51K-$87K (Glassdoor est.),2.8,"FJA-US Inc.
2.8","New York, NY",NY,"New York, NY",51 to 200 employees,1994,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
114,Data Analyst,$51K-$87K (Glassdoor est.),5,"Averity
5.0","New York, NY",NY,"New York, NY",1 to 50 employees,2014,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
115,Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Capgemini
3.8","Jersey City, NJ",NJ,"Paris, France",10000+ employees,1967,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
116,ERP Data Analyst,$51K-$87K (Glassdoor est.),3.4,"Wildlife Conservation Society
3.4","New York, NY",NY,"Bronx, NY",1001 to 5000 employees,1895,Social Assistance,Non-Profit,$100 to $500 million (USD)
117,Data Analyst,$51K-$87K (Glassdoor est.),3.6,"Asembia
3.6","Florham Park, NJ",NJ,"Florham Park, NJ",501 to 1000 employees,2004,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD)
118,Healthcare Data/Reporting Analyst,$51K-$87K (Glassdoor est.),-1,Vesta Healthcare,"New York, NY",NY,"New York, NY",1 to 50 employees,2018,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
119,PBM Data Analyst,$51K-$87K (Glassdoor est.),3.2,"1199SEIU Funds
3.2","New York, NY",NY,"New York, NY",1001 to 5000 employees,-1,Insurance Carriers,Insurance,$100 to $500 million (USD)
120,Data Analyst (Temporary Assignment),$59K-$85K (Glassdoor est.),3.8,"Nutrafol
3.8","New York, NY",NY,"New York, NY",51 to 200 employees,-1,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
121,Data Analyst,$59K-$85K (Glassdoor est.),3.5,"New York Life Insurance Co
3.5","New York, NY",NY,"New York, NY",10000+ employees,1845,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD)
122,Market Data Analyst,$59K-$85K (Glassdoor est.),3.5,"EDP World, Inc.
3.5","New York, NY",NY,"New York, NY",1 to 50 employees,1968,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
123,Data Analyst,$59K-$85K (Glassdoor est.),4.1,"Phyton Talent Advisors
4.1","Jersey City, NJ",NJ,"New York, NY",1 to 50 employees,-1,-1,-1,Unknown / Non-Applicable
124,Junior Data Analyst,$59K-$85K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","New York, NY",NY,"Woodridge, IL",51 to 200 employees,2008,IT Services,Information Technology,$50 to $100 million (USD)
125,Microsoft Dynamics CRM Data Analyst,$59K-$85K (Glassdoor est.),3.7,"IBM
3.7","New York, NY",NY,"Armonk, NY",10000+ employees,1911,IT Services,Information Technology,$10+ billion (USD)
126,Practice Analyst Data,$59K-$85K (Glassdoor est.),4,"Northwell Health
4.0","Manhasset, NY",NY,"Lake Success, NY",10000+ employees,1997,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
127,Buyside - Data Scientist/Research Analyst,$59K-$85K (Glassdoor est.),3.3,"Huxley
3.3","New York, NY",NY,"London, United Kingdom",201 to 500 employees,1995,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
128,Data Analyst - Healthcare Provider Networks and Formularies,$59K-$85K (Glassdoor est.),2.9,"Vericred
2.9","New York, NY",NY,"New York, NY",1 to 50 employees,2015,Internet,Information Technology,Unknown / Non-Applicable
129,Electronic Trading Data Analyst,$59K-$85K (Glassdoor est.),3.6,"Scotiabank
3.6","New York, NY",NY,"Toronto, Canada",10000+ employees,1832,Investment Banking & Asset Management,Finance,$10+ billion (USD)
130,"Data Analyst, Center for Developing Brain",$59K-$85K (Glassdoor est.),3.2,"Child Mind Institute
3.2","New York, NY",NY,"New York, NY",201 to 500 employees,2009,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
131,Data Processing & Performance Analyst,$59K-$85K (Glassdoor est.),3.1,"Balance Innovations
3.1","New York, NY",NY,"Lenexa, KS",51 to 200 employees,-1,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
132,Business Analyst - Data Analyst,$59K-$85K (Glassdoor est.),3.4,"Asset Staffing
3.4","Newark, NJ",NJ,"New York, NY",201 to 500 employees,-1,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
133,Data Analyst with Rochade,$59K-$85K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY",NY,"Northville, MI",501 to 1000 employees,2004,IT Services,Information Technology,$50 to $100 million (USD)
